raw,Additive Name,technical effects,regulatory status,use limitations
"Acacia (gum arabic)- EMUL/STAB, REG, Used as thickener, emulsifier, or stabilizer at =20% of alcoholic beverages-172.780, GRAS/FS, See Reg Part 135, Frozen Desserts; Part 169, Food Dressings and Flavorings; Part 169.179, Vanilla Pwd-184.1330",Acacia (gum arabic),EMUL/STAB,REG,"Used as thickener, emulsifier, or stabilizer at =20% of alcoholic beverages-172.780, GRAS/FS, See Reg Part 135, Frozen Desserts; Part 169, Food Dressings and Flavorings; Part 169.179, Vanilla Pwd-184.1330"
"Acesulfame potassium - NNS, REG, See Regulation -172.800",Acesulfame potassium,NNS,REG,See Regulation -172.800
"Acetic acid - B&N/FEED, GRAS/FS, Part 133, Cheese; Part 582.1005, In animal feed practices; 184.1005, 172.814",Acetic acid,B&N/FEED,GRAS/FS,"Part 133, Cheese; Part 582.1005, In animal feed practices; 184.1005, 172.814"
"Acetic anhydride - MISC, REG, In modifying food starch -172.892",Acetic anhydride,MISC,REG,In modifying food starch -172.892
"Acetone - SOLV, REG, 30 ppm - As residual solvent in spice oleoresins 173.210",Acetone,SOLV,REG,30 ppm - As residual solvent in spice oleoresins 173.210
"Acetone peroxides - BL, REG/FS, GMP, Part 137, Cereal Flours -172.802",Acetone peroxides,BL,REG/FS,"GMP, Part 137, Cereal Flours -172.802"
"Acetyl-(p-nitrophenyl)-sulfanilamide - FEED, REG, See: Sulfanitran",Acetyl-(p-nitrophenyl)-sulfanilamide,(p-nitrophenyl)-sulfanilamide - FEED,REG,See: Sulfanitran
"N-Acetyl-L-methionine (free, hydrated, or anhydrous, or sodium or potassium salts) - NUTR, REG, In foods, except infant foods and foods containing added nitrites/nitrates -172.372","N-Acetyl-L-methionine (free, hydrated, or anhydrous, or sodium or potassium salts)",Acetyl-L-methionine (free,hydrated,"or anhydrous, or sodium or potassium salts) - UTR, REG, In foods, except infant foods and foods containing added nitrites/nitrates -172.372"
"Acetylated monoglycerides - EMUL, REG, GMP, Used in food, food processing, food pkg or food stg equipment -172.828",Acetylated monoglycerides,EMUL,REG,"GMP, Used in food, food processing, food pkg or food stg equipment -172.828"
"Acidified sodium chlorite solutions - REG, Microbial control agent in water for processing poultry, raw agricultural commodities, processed fruits, processed root, tuber, bulb, legume, fruiting (i.e., eggplant, groundcherry, pepino, pepper, tomatillo, and tomato), curcurbit and leafy vegetables, red meat, red meat parts, organs, processed, comminuted or formed meat food products, and seafood. See 173.325 for specifications and limitations.",Acidified sodium chlorite solutions,REG,Microbial control agent in water for processing poultry,"raw agricultural commodities, processed fruits, processed root, tuber, bulb, legume, fruiting (i.e., eggplant, groundcherry, pepino, pepper, tomatillo, and tomato), curcurbit and leafy vegetables, red meat, red meat parts, organs, processed, comminuted or formed meat food products, and seafood. See 173.325 for specifications and limitations."
"Aconitic acid (equisetic acid, citridic acid, achilleic acid) -SY/FL, GRAS/FS - 184.1007","Aconitic acid (equisetic acid, citridic acid, achilleic acid)",SY/FL,GRAS/FS - 184.1007,
"Acrolein - MISC, REG, In modifying food starch - 172.892",Acrolein,MISC,REG,In modifying food starch - 172.892
"Acrylamide -acrylic acid resin - GMP, MISC, REG, < 5 ppm by wt of juice - Used in clarifying beet sugar or cane sugar juice and liquor or corn starch hydrolyzate - 173.5; < 10 ppm by wt of liquor or hydrolyzate; Fixing agent for the immobilization of glucose isomerase for use in manufactur¬ing high fructose corn syrup - 173.357; FEED, REG, GMP, As a thickener & suspending agent in non-medicated aqueous suspensions intended for addition to animal feeds -573.120",Acrylamide -acrylic acid resin,acrylic acid resin - GMP,MISC,"REG, < 5 ppm by wt of juice - Used in clarifying beet sugar or cane sugar juice and liquor or corn starch hydrolyzate - 173.5; < 10 ppm by wt of liquor or hydrolyzate; Fixing agent for the immobilization of glucose isomerase for use in manufactur¬ing high fructose corn syrup - 173.357; FEED, REG, GMP, As a thickener & suspending agent in non-medicated aqueous suspensions intended for addition to animal feeds -573.120"
"Acrylamide-Sodium Acrylate Resin - MISC, REG, 173.5, Boiler Water Additive - 173.310, 172.710 - Adjuvants for pesticide use dilutions",Acrylamide-Sodium Acrylate Resin,Sodium Acrylate Resin - MISC,REG,"173.5, Boiler Water Additive - 173.310, 172.710 - Adjuvants for pesticide use dilutions"
"Acrylic Acid 12-acrylamido-2,2-propionic sulfonic acid copolymer - BC, REG, GMP, Boiler water - 173.310","Acrylic Acid 12-acrylamido-2,2-propionic sulfonic acid copolymer",acrylamido-2,2-propionic sulfonic acid copolymer - BC,"REG, GMP, Boiler water - 173.310"
Acrilonitrile copolymers - 180.22,Acrilonitrile copolymers - 180.22,180.22,,
"Adjuvants for pesticides use dilutions - ADG/PEST, REG, Surfactants and adjuvants added to pesticide use dilutions to growing crops - 172.710",Adjuvants for pesticides use dilutions,ADG/PEST,REG,Surfactants and adjuvants added to pesticide use dilutions to growing crops - 172.710
"Adipic acid - B&N/FEED, GRAS, GMP, In animal feed practices - 582.1009 - FLV, GRAS - 184.1009",Adipic acid,B&N/FEED,GRAS,"GMP, In animal feed practices - 582.1009 - FLV, GRAS - 184.1009"
"Adipic anhydride - MISC, REG, In modifying food starch -172.892",Adipic anhydride,MISC,REG,In modifying food starch -172.892
"Agar-agar - MISC, GRAS/FS, GRAS - 184.1115 - 0.8% -In baked goods and baking mixes; 2.0% - In confections & frostings; 1.2% - In soft candy; 0.25% - In all other candy; Part 135, Frozen Desserts; Part 150 Art Swt Jelly & Preserves",Agar-agar,agar - MISC,GRAS/FS,"GRAS - 184.1115 - 0.8% -In baked goods and baking mixes; 2.0% - In confections & frostings; 1.2% - In soft candy; 0.25% - In all other candy; Part 135, Frozen Desserts; Part 150 Art Swt Jelly & Preserves"
"Aklomide (2-chloro-4-nitrobenzamide) - FEED, REG, 4.5 ppm - In liver & muscles of uncooked edible tissue -556.30; 3 ppm - In skin w/fat of chickens - 556.30 - Use 558.35",Aklomide (2-chloro-4-nitrobenzamide),chloro-4-nitrobenzamide) - FEED,REG,4.5 ppm - In liver & muscles of uncooked edible tissue -556.30; 3 ppm - In skin w/fat of chickens - 556.30 - Use 558.35
"DL-Alanine - FL/ADJ, REG, 1% of pickling spice - As a flavor enhancer for sweeteners in pickling mix - 172.540 L- Alanine - NUTR, REG - 172.320",DL-Alanine,Alanine - FL/ADJ,REG,"1% of pickling spice - As a flavor enhancer for sweeteners in pickling mix - 172.540 L- Alanine - NUTR, REG - 172.320"
"Albendazole -VET, REG, Use in cattle as suspension -520.45a; Use in cattle as paste - 520.45b; 0.2 ppm - As residue in uncooked edible cattle tissue - 556.34 (aminosulfone metabolite); 0.6 ppm - As residue in uncooked edible cattle muscles - 556.34; 1.2 ppm - As residue in uncooked edible cattle liver - do; 1.8 ppm - As residue in uncooked edible cattle kidney - do; 2.4 ppm - As residue in uncooked edible cattle fat - do",Albendazole,VET,REG,Use in cattle as suspension -520.45a; Use in cattle as paste - 520.45b; 0.2 ppm - As residue in uncooked edible cattle tissue - 556.34 (aminosulfone metabolite); 0.6 ppm - As residue in uncooked edible cattle muscles - 556.34; 1.2 ppm - As residue in uncooked edible cattle liver - do; 1.8 ppm - As residue in uncooked edible cattle kidney - do; 2.4 ppm - As residue in uncooked edible cattle fat - do
"Alcohol, Denatured Formula 23A - MISC, REG - 73.1 Diluent in color additive mixtures for coloring shell eggs","Alcohol, Denatured Formula 23A",MISC,REG - 73.1 Diluent in color additive mixtures for coloring shell eggs,
"Alcohol, SDA-3A - MISC, REG - 73.1 - Diluent in color additive for marking food","Alcohol, SDA-3A",3A - MISC,REG - 73.1 - Diluent in color additive for marking food,
